ID;URI;German Name;German Synonyms;English Name;English Synonyms;Wikidata ID;GND ID (male);GND ID (female);GND ID (group);AAT ID;Parent Role;German Breadcrumb;English Breadcrumb;"Pre-selects ""ist Urheber:in"" automatically";"Pre-selects ""besitzt Leistungsschutzrechte"" automatically"
106;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/roles#role-106;Kulturjournalist:in;Kulturjournalistin,Kulturjournalist;arts journalist;cultural journalist;Q34037376;;;;;105;Journalist:in > Kulturjournalist:in;journalist > arts journalist;0;0
107;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/roles#role-107;Kritiker:in;Kritikerin,Kritiker;critic;;Q6430706;4165775-5;7539326-8;;300025519;105;Journalist:in > Kritiker:in;journalist > critic;0;0
108;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/roles#role-108;Literaturkritiker:in;Literaturkritikerin,Literaturkritiker;literary critic;;Q4263842;4167874-6;4167875-8;;300025522;107;Journalist:in > Kritiker:in > Literaturkritiker:in;journalist > critic > literary critic;0;0
109;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/roles#role-109;Musikkritiker:in;Musikkritikerin,Musikkritiker;music critic;;Q1350157;4120774-9;7540312-2;;300386248;107;Journalist:in > Kritiker:in > Musikkritiker:in;journalist > critic > music critic;0;0
110;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/roles#role-110;Musikjournalist:in;Musikjournalistin,Musikjournalist;music journalist;;Q20669622;7628915-1;7628916-3;;;105;Journalist:in > Musikjournalist:in;journalist > music journalist;0;0
111;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/roles#role-111;Kabarettist:in;Kabarettistin,Kabarettist;cabaret performer;cabaret artist,cabaret show performer;Q15214752;4123477-7;4707009-2;;;;Kabarettist:in;cabaret performer;0;1
112;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/roles#role-112;Kameraperson;Bildgestalterin,Bildgestalter,Kamerafrau,Kameramann;cinematographer;DoP,Director of Photography;Q222344;4029412-2;4493238-8;;300025650;;Kameraperson;cinematographer;0;0
113;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/roles#role-113;Klinikverwalter:in;Klinikverwalterin,Klinikverwalter;hospital administrator;;Q3029404;;;;;;Klinikverwalter:in;hospital administrator;0;0
114;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/roles#role-114;Komiker:innenduo;Comedy Duo;double act;;Q1141470;;;;;;Komiker:innenduo;double act;0;0
115;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/roles#role-115;Komponist:in;Komposition,Komponistin,Komponist;composer;;Q36834;4032009-1;4032010-8;;300025671;;Komponist:in;composer;1;0
