ID;URI;English Name;German Name;Parent Organisational Unit;German Breadcrumb;English Breadcrumb;German Description;English Description
93;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/organisational-units#organisational-unit-93;Project Schauspiel HfMT (Acting HfMT);Projekt Schauspiel HfMT;83;Hochschule für Musik und Tanz Köln > Projekt Schauspiel HfMT;Hochschule für Musik und Tanz Köln > Project Schauspiel HfMT (Acting HfMT);;
94;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/organisational-units#organisational-unit-94;Seminar Project Jazz Against The Machine;Projektseminar Jazz Against The Machine;83;Hochschule für Musik und Tanz Köln > Projektseminar Jazz Against The Machine;Hochschule für Musik und Tanz Köln > Seminar Project Jazz Against The Machine;;
95;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/organisational-units#organisational-unit-95;Rheinische Opernakademie (Rhenish Opera Acadaemy);Rheinische Opernakademie;83;Hochschule für Musik und Tanz Köln > Rheinische Opernakademie;Hochschule für Musik und Tanz Köln > Rheinische Opernakademie (Rhenish Opera Acadaemy);;
96;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/organisational-units#organisational-unit-96;Study Programme Bachelor of Arts | Dance (B.A.);Studiengang Bachelor of Arts | Tanz (B.A.);83;Hochschule für Musik und Tanz Köln > Studiengang Bachelor of Arts | Tanz (B.A.);Hochschule für Musik und Tanz Köln > Study Programme Bachelor of Arts | Dance (B.A.);;
97;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/organisational-units#organisational-unit-97;Study Programme Bachelor of Music | Brass Instruments (B.Mus.);Studiengang Bachelor of Music | Blechbläser (B.Mus.);83;Hochschule für Musik und Tanz Köln > Studiengang Bachelor of Music | Blechbläser (B.Mus.);Hochschule für Musik und Tanz Köln > Study Programme Bachelor of Music | Brass Instruments (B.Mus.);;
98;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/organisational-units#organisational-unit-98;Study Programme Bachelor of Music | Choral Conducting (B.Mus.);Studiengang Bachelor of Music | Chordirigieren (B.Mus.);83;Hochschule für Musik und Tanz Köln > Studiengang Bachelor of Music | Chordirigieren (B.Mus.);Hochschule für Musik und Tanz Köln > Study Programme Bachelor of Music | Choral Conducting (B.Mus.);;
99;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/organisational-units#organisational-unit-99;Study Programme Bachelor of Music | Electronic Compostion (B.Mus.);Studiengang Bachelor of Music | Elektronische Komposition (B.Mus.);83;Hochschule für Musik und Tanz Köln > Studiengang Bachelor of Music | Elektronische Komposition (B.Mus.);Hochschule für Musik und Tanz Köln > Study Programme Bachelor of Music | Electronic Compostion (B.Mus.);;
100;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/organisational-units#organisational-unit-100;Study Programme Bachelor of Music | Elementary Music [Pedagogy] (B.Mus.);Studiengang Bachelor of Music | Elementare Musikpädagogik (B.Mus.);83;Hochschule für Musik und Tanz Köln > Studiengang Bachelor of Music | Elementare Musikpädagogik (B.Mus.);Hochschule für Musik und Tanz Köln > Study Programme Bachelor of Music | Elementary Music Pedagogy (B.Mus.);;
101;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/organisational-units#organisational-unit-101;Study Programme Bachelor of Music | Church Music (Protestant) (B.Mus.);Studiengang Bachelor of Music | Evangelische Kirchenmusik (B.Mus.);83;Hochschule für Musik und Tanz Köln > Studiengang Bachelor of Music | Evangelische Kirchenmusik (B.Mus.);Hochschule für Musik und Tanz Köln > Study Programme Bachelor of Music | Church Music (Protestant) (B.Mus.);;
102;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/organisational-units#organisational-unit-102;Study Programme Bachelor of Music | Voice (B.Mus.);Studiengang Bachelor of Music | Gesang (B.Mus.);83;Hochschule für Musik und Tanz Köln > Studiengang Bachelor of Music | Gesang (B.Mus.);Hochschule für Musik und Tanz Köln > Study Programme Bachelor of Music | Voice (B.Mus.);;
103;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/organisational-units#organisational-unit-103;Study Programme Bachelor of Music | Guitar (B.Mus.);Studiengang Bachelor of Music | Gitarre (B.Mus.);83;Hochschule für Musik und Tanz Köln > Studiengang Bachelor of Music | Gitarre (B.Mus.);Hochschule für Musik und Tanz Köln > Study Programme Bachelor of Music | Guitar (B.Mus.);;
104;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/organisational-units#organisational-unit-104;Study Programme Bachelor of Music | Harp (B.Mus.);Studiengang Bachelor of Music | Harfe (B.Mus.);83;Hochschule für Musik und Tanz Köln > Studiengang Bachelor of Music | Harfe (B.Mus.);Hochschule für Musik und Tanz Köln > Study Programme Bachelor of Music | Harp (B.Mus.);;
105;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/organisational-units#organisational-unit-105;Study Programme Bachelor of Music | Historic Instruments (B.Mus.);Studiengang Bachelor of Music | Historische Instrumente (B.Mus.);83;Hochschule für Musik und Tanz Köln > Studiengang Bachelor of Music | Historische Instrumente (B.Mus.);Hochschule für Musik und Tanz Köln > Study Programme Bachelor of Music | Historic Instruments (B.Mus.);;
106;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/organisational-units#organisational-unit-106;Study Programme Bachelor of Music | Woodwind Instruments (B.Mus.);Studiengang Bachelor of Music | Holzbläser (B.Mus.);83;Hochschule für Musik und Tanz Köln > Studiengang Bachelor of Music | Holzbläser (B.Mus.);Hochschule für Musik und Tanz Köln > Study Programme Bachelor of Music | Woodwind Instruments (B.Mus.);;
107;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/organisational-units#organisational-unit-107;Study Programme Bachelor of Music | Instrumental/Vocal Pedagogy (B.Mus.);Studiengang Bachelor of Music | Instrumental-/Gesangspädagogik (B.Mus.);83;Hochschule für Musik und Tanz Köln > Studiengang Bachelor of Music | Instrumental-/Gesangspädagogik (B.Mus.);Hochschule für Musik und Tanz Köln > Study Programme Bachelor of Music | Instrumental/Vocal Pedagogy (B.Mus.);;
108;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/organisational-units#organisational-unit-108;Study Programme Bachelor of Music | Instrumental Composition (B.Mus.);Studiengang Bachelor of Music | Instrumentale Komposition (B.Mus.);83;Hochschule für Musik und Tanz Köln > Studiengang Bachelor of Music | Instrumentale Komposition (B.Mus.);Hochschule für Musik und Tanz Köln > Study Programme Bachelor of Music | Instrumental Composition (B.Mus.);;
109;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/organisational-units#organisational-unit-109;Study Programme Bachelor of Music | Jazz/Pop (B.Mus.);Studiengang Bachelor of Music | Jazz/Pop (B.Mus.);83;Hochschule für Musik und Tanz Köln > Studiengang Bachelor of Music | Jazz/Pop (B.Mus.);Hochschule für Musik und Tanz Köln > Study Programme Bachelor of Music | Jazz/Pop (B.Mus.);;
110;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/organisational-units#organisational-unit-110;Study Programme Bachelor of Music | Church Music (Catholic) (B.Mus.);Studiengang Bachelor of Music | Katholische Kirchenmusik (B.Mus.);83;Hochschule für Musik und Tanz Köln > Studiengang Bachelor of Music | Katholische Kirchenmusik (B.Mus.);Hochschule für Musik und Tanz Köln > Study Programme Bachelor of Music | Church Music (Catholic) (B.Mus.);;
111;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/organisational-units#organisational-unit-111;Study Programme Bachelor of Music | Piano (B.Mus.);Studiengang Bachelor of Music | Klavier (B.Mus.);83;Hochschule für Musik und Tanz Köln > Studiengang Bachelor of Music | Klavier (B.Mus.);Hochschule für Musik und Tanz Köln > Study Programme Bachelor of Music | Piano (B.Mus.);;
112;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/organisational-units#organisational-unit-112;Study Programme Bachelor of Music | Mandolin (B.Mus.);Studiengang Bachelor of Music | Mandoline (B.Mus.);83;Hochschule für Musik und Tanz Köln > Studiengang Bachelor of Music | Mandoline (B.Mus.);Hochschule für Musik und Tanz Köln > Study Programme Bachelor of Music | Mandolin (B.Mus.);;
113;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/organisational-units#organisational-unit-113;Study Programme Bachelor of Music | Orchestral Conducting (B.Mus.);Studiengang Bachelor of Music | Orchesterdirigieren (B.Mus.);83;Hochschule für Musik und Tanz Köln > Studiengang Bachelor of Music | Orchesterdirigieren (B.Mus.);Hochschule für Musik und Tanz Köln > Study Programme Bachelor of Music | Orchestral Conducting (B.Mus.);;
114;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/organisational-units#organisational-unit-114;Study Programme Bachelor of Music | Organ (B.Mus.);Studiengang Bachelor of Music | Orgel (B.Mus.);83;Hochschule für Musik und Tanz Köln > Studiengang Bachelor of Music | Orgel (B.Mus.);Hochschule für Musik und Tanz Köln > Study Programme Bachelor of Music | Organ (B.Mus.);;
115;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/organisational-units#organisational-unit-115;Study Programme Bachelor of Music | Percussion/Timpani (B.Mus.);Studiengang Bachelor of Music | Schlagzeug/Pauke (B.Mus.);83;Hochschule für Musik und Tanz Köln > Studiengang Bachelor of Music | Schlagzeug/Pauke (B.Mus.);Hochschule für Musik und Tanz Köln > Study Programme Bachelor of Music | Percussion/Timpani (B.Mus.);;
116;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/organisational-units#organisational-unit-116;Study Programme Bachelor of Music | Strings (B.Mus.);Studiengang Bachelor of Music | Streicher (B.Mus.);83;Hochschule für Musik und Tanz Köln > Studiengang Bachelor of Music | Streicher (B.Mus.);Hochschule für Musik und Tanz Köln > Study Programme Bachelor of Music | Strings (B.Mus.);;
117;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/organisational-units#organisational-unit-117;Study Programme Bachelor of Music | Composition/Music Theory;Studiengang Bachelor of Music | Tonsatz/Musiktheorie (B.Mus.);83;Hochschule für Musik und Tanz Köln > Studiengang Bachelor of Music | Tonsatz/Musiktheorie (B.Mus.);Hochschule für Musik und Tanz Köln > Study Programme Bachelor of Music | Composition/Music Theory;;
