ID;URI;English Name;English Synonyms;German Name;German Synonyms;Parent Project Category;German Breadcrumb;English Breadcrumb;Wikidata ID;GND ID;AAT ID;filmportal.de Category ID 
91;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/project-categories#project-category-91;Virtual Reality;VR;Virtual Reality;Virtuelle Realität;80;Kunst > Digitale Kunst > Virtual Reality;Art > Digital Art > Virtual Reality;Q170519;4399931-1;300238469;
92;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/project-categories#project-category-92;Web Series;VLOG,Video Blog,Serial;Webserie;Serielles Format;80;Kunst > Digitale Kunst > Webserie;Art > Digital Art > Web Series;Q526877;1224905261;;
93;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/project-categories#project-category-93;Installation;Environment;Installation;Rauminstallation,Raumkonzept;78;Kunst > Installation;Art > Installation;Q20437094;4131808-0;300047896;
94;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/project-categories#project-category-94;Photo Installation;;Fotoinstallation;;93;Kunst > Installation > Fotoinstallation;Art > Installation > Photo Installation;Q117021891;4395048-6;;
95;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/project-categories#project-category-95;Interactive Art;;Interaktive Kunst;;93;Kunst > Installation > Interaktive Kunst;Art > Installation > Interactive Art;Q2394336;4557518-6;300266754;
96;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/project-categories#project-category-96;Intervention;;Intervention;;93;Kunst > Installation > Intervention;Art > Installation > Intervention;Q3937287;;300266371;
97;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/project-categories#project-category-97;Sound Installation;;Klanginstallation;;93;Kunst > Installation > Klanginstallation;Art > Installation > Sound Installation;Q2633362;;300387585;
98;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/project-categories#project-category-98;Percent for Art;;Kunst am Bau;;93;Kunst > Installation > Kunst am Bau;Art > Installation > Percent for Art;Q1726794;4114334-6;;
99;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/project-categories#project-category-99;Public Art;;Kunst im öffentlichen Raum;;93;Kunst > Installation > Kunst im öffentlichen Raum;Art > Installation > Public Art;Q557141;1024012069;300056501;
100;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/project-categories#project-category-100;Light Installation;;Lichtinstallation;;93;Kunst > Installation > Lichtinstallation;Art > Installation > Light Installation;Q1823448;4614008-6;;
101;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/project-categories#project-category-101;Video Installation;;Videoinstallation;;93;Kunst > Installation > Videoinstallation;Art > Installation > Video Installation;Q550484;4347940-6;;
102;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/project-categories#project-category-102;Sound Art;;Klangkunst;Klang;78;Kunst > Klangkunst;Art > Sound Art;Q1744327;4430771-8;300387583;
103;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/project-categories#project-category-103;Album;;Album;;102;Kunst > Klangkunst > Album;Art > Sound Art > Album;Q482994;1077267533;;
104;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/project-categories#project-category-104;Field Recording;Live Sound Recording;Field Recording;Feldaufnahme;102;Kunst > Klangkunst > Field Recording;Art > Sound Art > Field Recording;Q360982;1030305420;300265794;
105;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/project-categories#project-category-105;Listening Piece;;Hörstück;;102;Kunst > Klangkunst > Hörstück;Art > Sound Art > Listening Piece;Q121788275;1028557604;;
106;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/project-categories#project-category-106;Sound Installation;;Klanginstallation;;102;Kunst > Klangkunst > Klanginstallation;Art > Sound Art > Sound Installation;Q2633362;;300387585;
107;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/project-categories#project-category-107;Sound Sculpture;;Klangobjekt;Akustische Skulptur;102;Kunst > Klangkunst > Klangobjekt;Art > Sound Art > Sound Sculpture;Q2236597;4364747-9;300047267;
108;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/project-categories#project-category-108;Composition;;Komposition;;102;Kunst > Klangkunst > Komposition;Art > Sound Art > Composition;Q207628;4133320-2;;
109;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/project-categories#project-category-109;Concert;;Konzert;;102;Kunst > Klangkunst > Konzert;Art > Sound Art > Concert;Q182832;4317474-7;300069210;
110;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/project-categories#project-category-110;Soundtrack;;Soundtrack;;102;Kunst > Klangkunst > Soundtrack;Art > Sound Art > Soundtrack;Q217199;4017129-2;300263865;
111;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/project-categories#project-category-111;Artist's Publication;;Künstler:innen-Publikation;Künstlerpublikation;78;Kunst > Künstler:innen-Publikation;Art > Artist's Publication;Q121788724;;;
112;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/project-categories#project-category-112;Artist's Book;Artist book,Book Art;Künstler:innen-Buch;Buchkunst,Buchprojekt,Künstlerbuch;111;Kunst > Künstler:innen-Publikation > Künstler:innen-Buch;Art > Artist's Publication > Artist's Book;Q1062404;4229053-3;300123016;
113;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/project-categories#project-category-113;Artist's Statement;Artist's Text,Statement;Künstler:innen-Text;Künstler:innen-Statement;111;Kunst > Künstler:innen-Publikation > Künstler:innen-Text;Art > Artist's Publication > Artist's Statement;Q4801214;;300192825;
114;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/project-categories#project-category-114;Podcast;;Podcast;;111;Kunst > Künstler:innen-Publikation > Podcast;Art > Künstler:innen-Publikation > Podcast;Q20899;7527248-9;300310137;
115;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/project-categories#project-category-115;Website;;Webseite;;111;Kunst > Künstler:innen-Publikation > Webseite;Art > Künstler:innen-Publikation > Website;Q35127;4596172-4;300265431;
116;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/project-categories#project-category-116;Fine Art Photography;;Künstlerische Fotografie;Fotokunst,Kunstfotografie;78;Kunst > Künstlerische Fotografie;Art > Fine Art Photography;Q1066582;;300435144;
117;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/project-categories#project-category-117;Computer-Generated Imagery;CGI,Computer Graphics;Computer Generated Imagery;Computergrafik;116;Kunst > Künstlerische Fotografie > Computer Generated Imagery;Art > Fine Art Photography > Computer-Generated Imagery;Q6002306;4197506-6;300266307;
118;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/project-categories#project-category-118;Documentary Photography;;Dokumentarfotografie;Künstlerische Dokumentarfotografie;116;Kunst > Künstlerische Fotografie > Dokumentarfotografie;Art > Fine Art Photography > Documentary Photography;Q615498;4142019-6;300134547;
119;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/project-categories#project-category-119;Photobook;Photo-Book,Photo Book;Fotobuch;;116;Kunst > Künstlerische Fotografie > Fotobuch;Art > Fine Art Photography > Photobook;Q604219;7660057-9;300265728;
120;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/project-categories#project-category-120;Photogrammetry;;Fotogrammetrie;;116;Kunst > Künstlerische Fotografie > Fotogrammetrie;Art > Fine Art Photography > Photogrammetry;Q190149;4045892-1;300053580;
121;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/project-categories#project-category-121;Photo Installation;;Fotoinstallation;;116;Kunst > Künstlerische Fotografie > Fotoinstallation;Art > Fine Art Photography > Photo Installation;Q117021891;4395048-6;;
122;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/project-categories#project-category-122;Staged Photography;;Inszenierte Fotografie;;116;Kunst > Künstlerische Fotografie > Inszenierte Fotografie;Art > Fine Art Photography > Staged Photography;Q1665341;4371232-0;;
123;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/project-categories#project-category-123;Conceptual Photography;;Konzeptuelle Fotografie;;116;Kunst > Künstlerische Fotografie > Konzeptuelle Fotografie;Art > Fine Art Photography > Conceptual Photography;Q5158441;;;
124;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/project-categories#project-category-124;Light Art;;Lichtkunst;;78;Kunst > Lichtkunst;Art > Light Art;Q1421557;4120673-3;300121461;
125;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/project-categories#project-category-125;Holography;;Holografie;Holografische Arbeit;124;Kunst > Lichtkunst > Holografie;Art > Light Art > Holography;Q527628;4025643-1;300053341;
126;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/project-categories#project-category-126;Light Installation;;Lichtinstallation;;124;Kunst > Lichtkunst > Lichtinstallation;Art > Light Art > Light Installation;Q1823448;4614008-6;;
127;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/project-categories#project-category-127;Painting;;Malerei;;78;Kunst > Malerei;Art > Painting;Q11629;4037220-0;300033799;
128;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/project-categories#project-category-128;Performance;;Performance;Aktionskunst,Handlung;78;Kunst > Performance;Art > Performance;Q213156;4173750-7;300121445;
129;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/project-categories#project-category-129;Action;;Aktion;;128;Kunst > Performance > Aktion;Art > Performance > Action;Q422635;4141744-6;300185409;
130;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/project-categories#project-category-130;Durational Performance;Durational Art,Endurance Art;Durational Performance;;128;Kunst > Performance > Durational Performance;Art > Performance > Durational Performance;Q5376667;;;
131;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/project-categories#project-category-131;Happening;;Happening;;128;Kunst > Performance > Happening;Art > Performance > Happening;Q108874;4159095-8;300047935;
132;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/project-categories#project-category-132;Intervention;;Intervention;;128;Kunst > Performance > Intervention;Art > Performance > Intervention;Q3937287;;300266371;
133;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/project-categories#project-category-133;Lecture Performance;Performance Lecture,Performance-Lecture;Performance-Vortrag;Vortragsperformance;128;Kunst > Performance > Performance-Vortrag;Art > Performance > Lecture Performance;Q61862009;7688836-8;;
134;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/project-categories#project-category-134;Dance;;Tanz;;128;Kunst > Performance > Tanz;Art > Performance > Dance;Q11639;4059028-8;300054144;
